observation_type,domain,dataset_instance,var_name,var_label,var_def,pct_public,keep_previous,keep
area-level,Physical and Natural Environment,APM_DAILY_v1.0,APMPM25DMEAN,Average daily PM2.5 concentration from monitors ,"The arithmetic mean of PM2.5 measurements for all monitors within the geographic unit. All days during the time span where data is available are included in the dataset. If PM2.5 data is not available for a particular day, then the PM2.5 mean are missing values.",0,0,
area-level,Physical and Natural Environment,APM_DAILY_v1.0,APMPM25DNSTN,Standard Deviation of daily PM2.5 concentration from monitors ,"Standard deviation of PM2.5 measurements for all monitors within the geographic unit. All days during the time span where data is available are included in the dataset. If PM2.5 data is not available for a particular day, then the PM2.5 standard deviation are missing values. A higher value indictates more variability in the PM2.5 measures used to calculated the mean and median values.",0,0,
area-level,Physical and Natural Environment,APM_DAILY_v1.0,APMPM25DSD,Number of PM2.5 monitors,"Number of monitors used to calculate daily PM2.5 average and variance measures for the geographic unit. All days during the time span where data is available are included in the dataset. If PM2.5 data is not available for a particular day, then the PM2.5 number of monitors are missing values. A higher number indicates more monitors were used to calculate the PM2.5 metrics.",0,0,
area-level,Physical and Natural Environment,APS_MONTH_v1.0,APSMPM25GRIDPTS,Number of grid points used to calculate PM2.5 measures,Number of grid point centroids used to calculate PM2.5 average and variance measures. This can be used as a measure of size of the area.  (PM2.5 – particulate matter with less 2.5 µm of diameter),0,0,
area-level,Physical and Natural Environment,APS_MONTH_v1.0,APSMPM25MEAN,Average PM2.5 concentration,Arithmetic mean of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),0,1,
area-level,Physical and Natural Environment,APS_MONTH_v1.0,APSMPM25MEDIAN,Median PM2.5 concentration,Median of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary. (PM2.5 – particulate matter with less 2.5 µm of diameter),0,0,
area-level,Physical and Natural Environment,APS_MONTH_v1.0,APSMPM25POPWT,Population-weighted Average PM2.5 concentration,Population-weighted mean of PM2.5 measurements for all grid cells where the centroid falls within the geographic unit (PM2.5 – particulate matter with less 2.5 µm of diameter),0,1,
area-level,Physical and Natural Environment,APS_MONTH_v1.0,APSMPM25STD,Standard deviation of the mean value of PM2.5,Standard deviation of PM2.5 measurements for any grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),0,1,
area-level,Physical and Natural Environment,APS_MONTH_v1.0,APSMPM25THRES,Average PM2.5 is above threshold,Average PM2.5 is above threshold of 10 µg/m3. Threshold defined based on WHO Guidelines.  (PM2.5 – particulate matter with less 2.5 µm of diameter),0,0,
area-level,Physical and Natural Environment,APS_v2.0,APSDNO2GRIDPTS,Number of grid points used to calculate NO2 measures,Number of grid points used to calculate NO2 average and variance measures. This can be used as a measure of size of the area. (NO2 - Nitrogen Dioxide),0.63,0,
area-level,Physical and Natural Environment,APS_v2.0,APSDNO2MEAN,Area-weighted NO2 average concentration,Weighted arithmetic mean of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area  contained within the boundary. (NO2 - Nitrogen Dioxide),0.63,1,
area-level,Physical and Natural Environment,APS_v2.0,APSDNO2MEDIAN,Area-weighted NO2 median concentration,Weighted median of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area contained within the boundary. (NO2 - Nitrogen Dioxide),0.63,0,
area-level,Physical and Natural Environment,APS_v2.0,APSDNO2POPWT,Population- and Area-weighted NO2 mean concentration,Weighted arithmetic mean of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area and population contained within the boundary. (NO2 - Nitrogen Dioxide),0.63,1,
area-level,Physical and Natural Environment,APS_v2.0,APSDNO2PROPDATA,Proportion of area that has NO2 data coverage.,Proportion of area of the geographic unit that has NO2 data coverage. (NO2 - Nitrogen Dioxide),0.63,0,
area-level,Physical and Natural Environment,APS_v2.0,APSDNO2STD,Standard deviation of the area-weighted mean value of NO2,Weighted standard deviation of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area contained within the boundary. (NO2 - Nitrogen Dioxide),0.63,1,
area-level,Physical and Natural Environment,APS_v2.0,APSNO2GRIDPTS,Number of grid points used to calculate NO2 measures,Number of grid points used to calculate NO2 average and variance measures. This can be used as a measure of size of the area. (NO2 - Nitrogen Dioxide),0.63,0,
area-level,Physical and Natural Environment,APS_v2.0,APSNO2MEAN,Average NO2 concentration,Arithmetic mean of NO2 measurements for all grid cells where the centroid falls within the defined boundary (NO2 - Nitrogen Dioxide),0.09,1,
area-level,Physical and Natural Environment,APS_v2.0,APSNO2MEDIAN,Median NO2 concentration,Median of NO2 measurements for all grid cells where the centroid falls within the defined boundary. (NO2 - Nitrogen Dioxide),0.63,0,
area-level,Physical and Natural Environment,APS_v2.0,APSNO2POPWT,Population-weighted Average NO2 concentration,Population-weighted mean of NO2 measurements for all grid cells where the centroid falls within the geographic unit. (NO2 - Nitrogen Dioxide),0.63,1,
area-level,Physical and Natural Environment,APS_v2.0,APSNO2STD,Standard Deviation of NO2,Standard deviation of NO2 measurements for any grid cells where the centroid falls within the defined boundary (NO2 - Nitrogen Dioxide),0.63,1,
area-level,Physical and Natural Environment,APS_v2.0,APSPM25GRIDPTS,Number of grid points used to calculate PM2.5 measures,Number of grid point centroids used to calculate PM2.5 average and variance measures. This can be used as a measure of size of the area.  (PM2.5 – particulate matter with less 2.5 µm of diameter),0.07,0,
area-level,Physical and Natural Environment,APS_v2.0,APSPM25MEAN,Average PM2.5 concentration,Arithmetic mean of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),0.07,1,
area-level,Physical and Natural Environment,APS_v2.0,APSPM25MEDIAN,Median PM2.5 concentration,Median of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary. (PM2.5 – particulate matter with less 2.5 µm of diameter),0.63,0,
area-level,Physical and Natural Environment,APS_v2.0,APSPM25POPWT,Population-weighted Average PM2.5 concentration,Population-weighted mean of PM2.5 measurements for all grid cells where the centroid falls within the geographic unit (PM2.5 – particulate matter with less 2.5 µm of diameter),0.63,1,
area-level,Physical and Natural Environment,APS_v2.0,APSPM25STD,Standard deviation of the mean value of PM2.5,Standard deviation of PM2.5 measurements for any grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),0.07,1,
area-level,Physical and Natural Environment,APS_v2.0,APSPM25THRES,Average PM2.5 is above threshold,Average PM2.5 is above threshold of 10 µg/m3. Threshold defined based on WHO Guidelines.  (PM2.5 – particulate matter with less 2.5 µm of diameter),0.63,0,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSCOLCNT,Total number of collisions.,"Total number of collisions, this is the count of all the collisions that occurred in the month.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSCOLCNTWKWT,Total number of weekend collisions,Total number of collisions that occurred on weekends. Weekends extend from Friday to Sunday.,0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSCOUNTDEAD,Total deaths due to collisions,Total number of people who died because of a collision that occurred in the month. ,0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSCOUNTETOH,Total number of collisions with alcohol involvement,"Total number of collisions where alcohol had involvement, the alcohol use was detected for the responsible driver via a breathalyzer test. The breathalyzer used by police in Mexico indicates alcohol was detected or not and does not indicate the blood alcohol level. It is a screening tool to obtain a legal blood draw test of blood alcohol content.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSCOUNTETOHWK,Total number of weekend collisions with alcohol involvement,"Total number of collisions where alcohol had involvement on the weekend, the alcohol use was detected for the responsible driver via a breathalyzer test. The breathalyzer used by police in Mexico indicates alcohol was detected or not and does not indicate the blood alcohol level. It is a screening tool to obtain a legal blood draw test of blood alcohol content. Weekends extend from Friday to Sunday.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSCOUNTINJ,Total people injured in collision,Total number of people that resulted injured because of a collision.,0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSTCOLFATAL,Total number of fatal collisions,"Total number of fatal collisions, this is the total count where a person died due to a collision.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSTCOLFATALWK,Total number of fatal weekend collisions,"Total number of fatal collisions, this is the total count where a person died due to a collision. Weekends extend from Friday to Sunday.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSTCOLINJ,Total number of collisions with injured person (without deaths),"Total number of collisions that had at least one injured person excluding collisions in which a death occurred, this variable excludes collisions that had at least one person die.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSTCOLINJWD,Total number of collisions that had at least one injured person,"Total number of collisions that had at least one injured person regardless of whether a death occurred. This variable includes collisions with injuries and deaths, and collisions with injuries but without deaths.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSTCOLINJWDWKWT,Total number of weekend collisions with injured person (without deaths),"Total number of collisions that had at least one injured person excluding collisions in which a death occurred, this variable excludes collisions that had at least one person die. Weekends extend from Friday to Sunday.",0,1,
area-level,Physical and Natural Environment,ATUS_MONTHLY_v1.0,ATUSTCOLINJWKWT,Total number of weekend collisions that had at least one injured person,"Total number of collisions that had at least one injured person regardless of whether a death occurred. This variable includes collisions with injuries and deaths, and collisions with injuries but without deaths. Weekends extend from Friday to Sunday.",0,1,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECAVGPARKDIST,Average distance to nearest park,"Average of the airline distance from L3 centroids to the nearest park for all the L3 units that are nested within the L1/L2.  Interpretation: Higher values indicate greater distance (or - lower proximity), on average, to urban parks at the neighborhood (L3) level within L1/L2 units.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECAVGPARKROUTE,Average route distance to the nearest park,Average of the street route distance from L3 centroid to the nearest park in meters for all the L3 units that are nested within the L1/L2. Interpretation: Higher values indicate greater distance (or - lower proximity) to parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECLPARKDIST,Distance to nearest large park,The airline distance from L3 centroid to the nearest large park (as calculated from the nearest vertex of the large park). This variable is available only at L3 and it currently includes only parks that are defined as large according to country based tertiles. For L3 units with a park located 20km or more the distance to the nearest park variable was labeled NA (Not applicable). Interpretation: Higher values indicate greater distance (or - lower proximity) to large urban parks.  ,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECLPARKNUM,Number of large urban parks,"Number of large parks that fall within a unit. Any large park that fall within the unit's boundaries will be counted, even if only part of the large park is in the unit. This metric currently includes only parks that are defined as large according to country based tertiles. Interpretation: Higher values indicate higher prevalence of large urban parks.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECLPARKNUMPERCAP,Number of large parks per capita,"Number of parks that fall within the unit (total number of large parks that fall within the unit's boundaries, even if only part of the large park is in the unit) divided by the total population (2017) within the administrative boundary and then multiplied by 1,000. This metric currently includes only parks that are defined as large according to country based tertiles. Interpretation: Higher values indicate more large parks per capita.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECLPARKPROP,Percentage of large parks,The percentage of parks that are large-sized. [(“Number of large urban parks”/”Number of urban parks”)*100]. This metric currently includes only parks that are defined as large according to country based tertiles. Interpretation: Higher values suggest that large parks comprise higher percentages of all urban parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECLPARKROUT,Route distance to nearest large park,Distance by street route from L3 centroid to the nearest large park (as calculated from the nearest vertex of the park). This variable is available only at L3 and it currently includes only parks that are defined as large according to country based tertiles. Interpretation: Higher values indicate greater distance (or - lower proximity) to urban parks. For L3 units with a park located 20km or more the distance to the nearest large park variable was labeled NA (Not applicable).,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECMEDPARKDIST,Median distance to nearest park,"Median of the airline distance from L3 centroids to the nearest park for all the L3 units that are nested within the L1/L2.  Interpretation: Higher values indicate greater distance (or - lower proximity), on average, to urban parks at the neighborhood (L3) level within L1/L2 units.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECMPARKDIST,Distance to nearest medium park,The airline distance from L3 centroid to the nearest medium park (as calculated from the nearest vertex of the  medium park). This variable is available only at L3 and it currently includes only parks that are defined as medium according to country based tertiles. For L3 units with a park located 20km or more the distance to the nearest park variable was labeled NA (Not applicable). Interpretation: Higher values indicate greater distance (or - lower proximity) to medium urban parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECMPARKNUM,Number of medium urban parks,"Number of medium parks that fall within a unit. Any medium park that fall within the unit's boundaries will be counted, even if only part of the medium park is in the unit. This metric currently includes only parks that are defined as medium according to country-based tertiles. Interpretation: Higher values indicate higher prevalence of medium urban parks.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECMPARKNUMPERCAP,Number of medium parks per capita,"Number of medium parks that fall within the unit (total number of medium  parks that fall within the unit's boundaries, even if only part of the medium park is in the unit, divided by the total population (2017) within the administrative boundary and then multiplied by 1,000. This metric includes only parks that are defined as medium according to country based tertiles. Interpretation: Higher values indicate more medium parks per capita.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECMPARKPROP,Percentage of medium parks,The percentage of all parks that are medium-sized. [(“Number of medium urban parks”/”Number of urban parks”)*100]. This metric currently includes only parks that are defined as medium according to country based tertiles. Interpretation: Higher values suggest that medium parks comprise higher percentages of all urban parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECMPARKROUT,Route distance to nearest medium park,Distance by street route from L3 centroid to the nearest medium park (as calculated from the nearest vertex of the park). This variable is available only at L3 and it currently includes only parks that are defined as medium according to country based tertiles. Interpretation: Higher values indicate greater distance (or - lower proximity) to urban parks. For L3 units with a park located 20km or more the distance to the nearest medium park variable was labeled NA (Not applicable).,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKDIST,Distance to nearest park,The airline distance from L3 centroid to the nearest park (as calculated from the nearest vertex of the park). This variable is available only at L3. For L3 units with a park located 20km or more the distance to the nearest park variable was labeled NA (Not applicable). Interpretation: Higher values indicate greater distance (or - lower proximity) to urban parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKNUM,Number of urban parks,"Number of parks that intersect with a unit. Any park that fall within the unit's boundaries will be counted, even if only part of the park is in the unit. Interpretation: Higher values indicate greater prevalence of urban parks.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKNUMPERCAP,Number of parks per capita,"Number of parks that fall within the unit (total number of parks that fall within the unit's boundaries, even if only part of the park is in the unit ) divided by the total population within the administrative boundary and then multiplied by 1,000. Interpretation: Higher values indicate more parks per capita.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKOUTFLAGL1AD,Nearest park within a different L1AD,Indicator for when the nearest park is in a different L1AD. This variable is available only at L3.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKOUTFLAGL1UX,Nearest park within a different L1UX,Indicator for when the nearest park is in a different L1UX. This variable is available only at L3.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKOUTFLAGL2,Nearest park within a different L2,Indicator for when the nearest park is in a different L2. This variable is available only at L3.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKPCTAREA,Percentage of area covered by urban parks,The percent of the unit area covered by parks [(“Total urban park area that fall within the unit”/unit area)*100]. Interpretation: Higher values indicate higher proportion of unit area covered by urban parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKROUT,Route distance to nearest park,Distance by street route from L3 centroid to the nearest park (as calculated from the nearest vertex of the park). This variable is available only at L3. Interpretation: Higher values indicate greater distance (or lower proximity) to urban parks. For L3 units with a park located 20km or more the distance to the nearest park variable was labeled NA (Not applicable).,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKTAREA,Total urban park area,"Sum of the area of all parks that fall within the geographic unit. If a park crosses the boundary of the unit, only the area within the unit is counted. Interpretation: Higher values indicate more area covered by urban parks.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECPARKTAREAPERCAP,Park area per capita,"Sum of the area of all parks that fall within the unit (if a park crosses the boundary of the unit, only the area within the unit is counted) divided by the total population within the administrative boundary and then multiplied by 1,000. Interpretation: Higher values indicate greater park area per capita.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECSPARKDIST,Distance to nearest small park,The airline distance from L3 centroid to the nearest small park (as calculated from the nearest vertex of the small  park). This variable is available only at L3 and it currently includes only parks that are defined as small according to country based tertiles. Interpretation: Higher values indicate greater distance (or - lower proximity) to small urban parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECSPARKNUM,Number of small urban parks,"Number of small parks that fall within a unit. Any small park that fall within the unit's boundaries will be counted, even if only part of the small park is in the unit. This metric currently includes only parks that are defined as small according to country-based tertiles. Interpretation: Higher values indicate greater prevalence of small urban parks.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECSPARKNUMPERCAP,Number of small parks per capita,"Number of small parks that fall within the unit (total number of small  parks that fall within the unit's boundaries, even if only part of the small park is in the unit, divided by the total population (2017) within the administrative boundary and then multiplied by 1,000. This metric currently includes only parks that are defined as small according to country based tertiles. Interpretation: Higher values indicate more small parks per person.",0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECSPARKPROP,Percentage of small parks,The percentage of all parks that are small-sized. [(“Number of small urban parks”/”Number of urban parks”)*100]. This metric currently includes only parks that are defined as small according to country based tertiles. Interpretation: Higher values suggest that small parks comprise higher percentages of all urban parks.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECSPARKROUT,Route distance to nearest small park,Distance by street route from L3 centroid to the nearest small park (as calculated from the nearest vertex of the park). This variable is available only at L3 and it currently includes only parks that are defined as small according to country based tertiles. Interpretation: Higher values indicate greater distance (or - lower proximity) to urban parks. For L3 units with a park located 20km or more the distance to the nearest small park variable was labeled NA (Not applicable).,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECURBAVGTRAFTIME,Urban average travel time in traffic,Measures the average travel time in congestion. Larger values mean longer average travel times in the street network (minutes). The index for each area unit is approximated by measuring delays for 30 random origin-destination pairs in the street network and seven points in time during peak hours of a typical weekday. Each pair of points and moment in time determine a set of observations for each unit. The index for each area unit is approximated by measuring delays for 30 random origin-destination pairs in the street network and seven points in time during peak hours of a typical weekday. Each pair of points and moment in time determine a set of observations for each unit. Year of data: January 2018.,0,,
